,SUBDIVISION,YEAR,Jan-Feb,Mar-May,June-September,Oct-Dec,Latitude,Longitude,ANNUAL,target
210,1,2017,94.4,827.1,1583.6,240.4,28.093770000000006,94.59213,2745.5,0
211,2,1901,46.6,460.6,1711.0,280.49999999999994,25.91460265,91.84475808,2498.7,0
212,2,1902,19.5,717.7,2108.8,106.1,25.91460265,91.84475808,2952.1000000000013,0
213,2,1903,45.3,450.8,1828.4,220.1,25.91460265,91.84475808,2544.600000000001,0
214,2,1904,67.2,884.2,1548.0,164.8,25.91460265,91.84475808,2664.2000000000007,0
215,2,1905,36.8,626.4,1885.9,241.6,25.91460265,91.84475808,2790.700000000001,0
216,2,1906,68.9,623.2,1780.3,190.8,25.91460265,91.84475808,2663.2,0
217,2,1907,93.0,578.2,1793.9,56.2,25.91460265,91.84475808,2521.3,0
218,2,1908,41.3,530.0,1610.8000000000006,95.7,25.91460265,91.84475808,2277.8,0
219,2,1909,27.9,509.8,1646.0,193.3,25.91460265,91.84475808,2377.0,0
220,2,1910,41.3,638.9000000000002,1986.9,220.2,25.91460265,91.84475808,2887.3,0
221,2,1911,93.2,758.7,1957.5,286.7,25.91460265,91.84475808,3096.1000000000013,0
222,2,1912,66.8,677.3,1739.9,259.4,25.91460265,91.84475808,2743.4,0
223,2,1913,102.1,844.9000000000003,1529.8,283.7,25.91460265,91.84475808,2760.4999999999995,0
224,2,1914,85.39999999999998,607.4,1565.4999999999998,85.6,25.91460265,91.84475808,2343.9,0
225,2,1915,68.2,939.2,2035.2,122.6,25.91460265,91.84475808,3165.2,0
226,2,1916,48.0,686.9000000000002,1582.1,284.0,25.91460265,91.84475808,2601.0000000000005,0
227,2,1917,104.4,413.7,1717.5,284.4,25.91460265,91.84475808,2520.0,0
228,2,1918,20.700000000000006,565.0999999999998,2442.4,78.6,25.91460265,91.84475808,3106.8,0
229,2,1919,25.5,451.6,1635.1999999999994,231.8,25.91460265,91.84475808,2344.0999999999995,0
230,2,1920,55.8,695.5999999999997,1737.6999999999994,134.60000000000002,25.91460265,91.84475808,2623.7000000000007,0
231,2,1921,55.40000000000001,873.5,1909.7,160.9,25.91460265,91.84475808,2999.5,0
232,2,1922,21.5,479.6,1612.2999999999995,148.60000000000005,25.91460265,91.84475808,2262.0000000000005,0
233,2,1923,60.0,673.0,1592.1,115.3,25.91460265,91.84475808,2440.4,0
234,2,1924,33.3,541.3,1862.9,254.1,25.91460265,91.84475808,2691.6,0
235,2,1925,47.9,934.3,1464.9,103.4,25.91460265,91.84475808,2550.4999999999995,0
236,2,1926,46.6,551.6,1679.7,233.7,25.91460265,91.84475808,2511.5999999999995,0
237,2,1927,94.3,569.6,1937.8,191.2,25.91460265,91.84475808,2792.9,0
238,2,1928,29.4,646.4,1640.4,317.9000000000001,25.91460265,91.84475808,2634.1,0
239,2,1929,87.7,976.0,1654.4,235.7,25.91460265,91.84475808,2953.8,0
240,2,1930,59.0,509.0,1712.3000000000006,270.5,25.91460265,91.84475808,2550.8,0
241,2,1931,36.8,716.3,1872.4,174.6,25.91460265,91.84475808,2800.1,0
